Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","138","Mexico","5510","Production","402","Onions, shallots, green","2018","2018","tonnes","85104","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5312","Area harvested","490","Oranges","2018","2018","ha","326689","","Official data"
"QC","Crops","138","Mexico","5419","Yield","490","Oranges","2018","2018","hg/ha","145031","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","490","Oranges","2018","2018","tonnes","4737990","","Official data"
"QC","Crops","138","Mexico","5510","Production","256","Palm kernels","2018","2018","tonnes","43000","*","Unofficial figure"
"QC","Crops","138","Mexico","5312","Area harvested","600","Papayas","2018","2018","ha","17923","","Official data"
"QC","Crops","138","Mexico","5419","Yield","600","Papayas","2018","2018","hg/ha","580147","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","600","Papayas","2018","2018","tonnes","1039820","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","534","Peaches and nectarines","2018","2018","ha","25562","","Official data"
"QC","Crops","138","Mexico","5419","Yield","534","Peaches and nectarines","2018","2018","hg/ha","62852","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","534","Peaches and nectarines","2018","2018","tonnes","160663","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","521","Pears","2018","2018","ha","4089","","Official data"
"QC","Crops","138","Mexico","5419","Yield","521","Pears","2018","2018","hg/ha","73309","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","521","Pears","2018","2018","tonnes","29973","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","187","Peas, dry","2018","2018","ha","1436","","Official data"
"QC","Crops","138","Mexico","5419","Yield","187","Peas, dry","2018","2018","hg/ha","13065","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","187","Peas, dry","2018","2018","tonnes","1876","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","417","Peas, green","2018","2018","ha","11684","","Official data"
"QC","Crops","138","Mexico","5419","Yield","417","Peas, green","2018","2018","hg/ha","54219","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","417","Peas, green","2018","2018","tonnes","63352","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","687","Pepper (piper spp.)","2018","2018","ha","3186","","Official data"
"QC","Crops","138","Mexico","5419","Yield","687","Pepper (piper spp.)","2018","2018","hg/ha","28691","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","687","Pepper (piper spp.)","2018","2018","tonnes","9141","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","748","Peppermint","2018","2018","ha","68","","Official data"
"QC","Crops","138","Mexico","5419","Yield","748","Peppermint","2018","2018","hg/ha","95920","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","748","Peppermint","2018","2018","tonnes","657","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","587","Persimmons","2018","2018","ha","4","","Official data"
"QC","Crops","138","Mexico","5419","Yield","587","Persimmons","2018","2018","hg/ha","135000","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","587","Persimmons","2018","2018","tonnes","54","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","574","Pineapples","2018","2018","ha","20771","","Official data"
"QC","Crops","138","Mexico","5419","Yield","574","Pineapples","2018","2018","hg/ha","481249","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","574","Pineapples","2018","2018","tonnes","999593","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","223","Pistachios","2018","2018","ha","109","","Official data"
"QC","Crops","138","Mexico","5419","Yield","223","Pistachios","2018","2018","hg/ha","5557","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","223","Pistachios","2018","2018","tonnes","61","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","536","Plums and sloes","2018","2018","ha","14753","","Official data"
"QC","Crops","138","Mexico","5419","Yield","536","Plums and sloes","2018","2018","hg/ha","57241","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","536","Plums and sloes","2018","2018","tonnes","84447","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","116","Potatoes","2018","2018","ha","60303","","Official data"
"QC","Crops","138","Mexico","5419","Yield","116","Potatoes","2018","2018","hg/ha","298920","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","116","Potatoes","2018","2018","tonnes","1802592","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","211","Pulses nes","2018","2018","ha","389","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5419","Yield","211","Pulses nes","2018","2018","hg/ha","8203","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","211","Pulses nes","2018","2018","tonnes","319","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5312","Area harvested","394","Pumpkins, squash and gourds","2018","2018","ha","38177","","Official data"
"QC","Crops","138","Mexico","5419","Yield","394","Pumpkins, squash and gourds","2018","2018","hg/ha","203283","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","394","Pumpkins, squash and gourds","2018","2018","tonnes","776073","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","523","Quinces","2018","2018","ha","598","","Official data"
"QC","Crops","138","Mexico","5419","Yield","523","Quinces","2018","2018","hg/ha","87310","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","523","Quinces","2018","2018","tonnes","5217","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","270","Rapeseed","2018","2018","ha","5000","*","Unofficial figure"
"QC","Crops","138","Mexico","5419","Yield","270","Rapeseed","2018","2018","hg/ha","10000","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","270","Rapeseed","2018","2018","tonnes","5000","*","Unofficial figure"
"QC","Crops","138","Mexico","5312","Area harvested","547","Raspberries","2018","2018","ha","7151","","Official data"
"QC","Crops","138","Mexico","5419","Yield","547","Raspberries","2018","2018","hg/ha","182057","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","547","Raspberries","2018","2018","tonnes","130187","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","27","Rice, paddy","2018","2018","ha","45150","","Official data"
"QC","Crops","138","Mexico","5419","Yield","27","Rice, paddy","2018","2018","hg/ha","62848","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","27","Rice, paddy","2018","2018","tonnes","283763","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","149","Roots and tubers nes","2018","2018","ha","6799","","Official data"
"QC","Crops","138","Mexico","5419","Yield","149","Roots and tubers nes","2018","2018","hg/ha","302297","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","149","Roots and tubers nes","2018","2018","tonnes","205532","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","836","Rubber, natural","2018","2018","ha","25418","","Official data"
"QC","Crops","138","Mexico","5419","Yield","836","Rubber, natural","2018","2018","hg/ha","29870","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","836","Rubber, natural","2018","2018","tonnes","75923","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","71","Rye","2018","2018","ha","5","","Official data"
"QC","Crops","138","Mexico","5419","Yield","71","Rye","2018","2018","hg/ha","18000","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","71","Rye","2018","2018","tonnes","9","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","280","Safflower seed","2018","2018","ha","26709","","Official data"
"QC","Crops","138","Mexico","5419","Yield","280","Safflower seed","2018","2018","hg/ha","21968","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","280","Safflower seed","2018","2018","tonnes","58675","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","328","Seed cotton","2018","2018","ha","240580","","Official data"
"QC","Crops","138","Mexico","5419","Yield","328","Seed cotton","2018","2018","hg/ha","48325","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","328","Seed cotton","2018","2018","tonnes","1162603","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","289","Sesame seed","2018","2018","ha","78656","","Official data"
"QC","Crops","138","Mexico","5419","Yield","289","Sesame seed","2018","2018","hg/ha","7279","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","289","Sesame seed","2018","2018","tonnes","57256","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","789","Sisal","2018","2018","ha","6819","","Official data"
"QC","Crops","138","Mexico","5419","Yield","789","Sisal","2018","2018","hg/ha","13210","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","789","Sisal","2018","2018","tonnes","9008","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","83","Sorghum","2018","2018","ha","1300528","","Official data"
